ANYO,MES,COD_PROV,NOM_PROV,COD_MUN,NOM_MUN,COD_SECTOR,DESC_SECTOR,COD_GRUPO,DESC_GRUPO,COD_GENERO,DESC_GENERO,RANGO_EDAD,NUM_CONTRATOS
2018,1,46,VALENCIA,109,CHESTE,I ,Industria,8,"Operadores de instalaciones y maquinaria, y montadores",M,Mujer,25-44,1
2018,1,46,VALENCIA,165,MASSANASSA,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,<25  ,1
2018,1,46,VALENCIA,102,QUART DE POBLET,S ,Servicios,3,"Tecnicos, profesionales de apoyo",M,Mujer,25-44,1
2018,1,46,VALENCIA,184,ONTINYENT,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,<25  ,1
2018,1,46,VALENCIA,159,MANISES,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",H,Hombre,25-44,1
2018,1,46,VALENCIA,25,ALFARA DEL PATRIARCA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,25-44,1
2018,1,46,VALENCIA,60,BENIFAIO,S ,Servicios,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,46,VALENCIA,171,MONCADA,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,25-44,1
2018,1,46,VALENCIA,17,ALZIRA,S ,Servicios,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,46,VALENCIA,249,UTIEL,S ,Servicios,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,>44  ,1
2018,1,46,VALENCIA,220,SAGUNTO/SAGUNT,I ,Industria,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,25-44,1
2018,1,46,VALENCIA,111,CHIVA,I ,Industria,9,Ocupaciones elementales,H,Hombre,<25  ,1
2018,1,46,VALENCIA,81,CANALS,S ,Servicios,9,Ocupaciones elementales,M,Mujer,>44  ,1
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,9,Ocupaciones elementales,M,Mujer,25-44,1
2018,1,46,VALENCIA,113,DAIMUS,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,1
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,>44  ,1
2018,1,46,VALENCIA,15,ALCASSER,S ,Servicios,9,Ocupaciones elementales,H,Hombre,>44  ,2
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,1
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,9,Ocupaciones elementales,M,Mujer,<25  ,1
2018,1,46,VALENCIA,230,SILLA,S ,Servicios,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,3,ALICANTE,133,TORREVIEJA,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,25-44,12
2018,1,3,ALICANTE,31,BENIDORM,C ,Construccion,9,Ocupaciones elementales,H,Hombre,>44  ,2
2018,1,3,ALICANTE,140,VILLENA,I ,Industria,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),M,Mujer,25-44,5
2018,1,3,ALICANTE,122,SAN VICENTE DEL RASPEIG/SANT V,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,25-44,20
2018,1,3,ALICANTE,111,REDOVAN,S ,Servicios,9,Ocupaciones elementales,M,Mujer,25-44,1
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,I ,Industria,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,3,ALICANTE,104,PETRER,I ,Industria,9,Ocupaciones elementales,H,Hombre,>44  ,2
2018,1,3,ALICANTE,82,JAVEA/XABIA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,1
2018,1,3,ALICANTE,19,ASPE,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,3
2018,1,3,ALICANTE,122,SAN VICENTE DEL RASPEIG/SANT V,S ,Servicios,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,25-44,8
2018,1,3,ALICANTE,902,PILAR DE LA HORADADA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,25-44,1
2018,1,3,ALICANTE,82,JAVEA/XABIA,C ,Construccion,9,Ocupaciones elementales,H,Hombre,25-44,3
2018,1,3,ALICANTE,99,ORIHUELA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,25-44,1
2018,1,3,ALICANTE,10,ALFAFARA,S ,Servicios,9,Ocupaciones elementales,M,Mujer,>44  ,1
2018,1,3,ALICANTE,63,DENIA,C ,Construccion,9,Ocupaciones elementales,H,Hombre,25-44,3
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,C ,Construccion,9,Ocupaciones elementales,H,Hombre,>44  ,23
2018,1,46,VALENCIA,164,MASSAMAGRELL,S ,Servicios,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,<25  ,1
2018,1,46,VALENCIA,194,PICASSENT,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,<25  ,1
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,M,Mujer,25-44,1
2018,1,46,VALENCIA,109,CHESTE,S ,Servicios,1,Directores y gerentes,H,Hombre,>44  ,1
2018,1,46,VALENCIA,230,SILLA,I ,Industria,3,"Tecnicos, profesionales de apoyo",H,Hombre,25-44,1
2018,1,46,VALENCIA,186,PAIPORTA,I ,Industria,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,>44  ,1
2018,1,46,VALENCIA,17,ALZIRA,I ,Industria,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,25-44,1
2018,1,46,VALENCIA,60,BENIFAIO,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,>44  ,1
2018,1,46,VALENCIA,131,GANDIA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,2
2018,1,46,VALENCIA,163,MASSALFASSAR,S ,Servicios,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,>44  ,1
2018,1,46,VALENCIA,188,PALMERA,S ,Servicios,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,25-44,1
2018,1,46,VALENCIA,21,ALDAIA,C ,Construccion,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,46,VALENCIA,181,OLIVA,S ,Servicios,9,Ocupaciones elementales,M,Mujer,25-44,1
2018,1,3,ALICANTE,47,CALP,S ,Servicios,3,"Tecnicos, profesionales de apoyo",M,Mujer,25-44,5
2018,1,3,ALICANTE,99,ORIHUELA,S ,Servicios,9,Ocupaciones elementales,H,Hombre,25-44,6
2018,1,3,ALICANTE,49,CALLOSA DE SEGURA,S ,Servicios,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,25-44,2
2018,1,3,ALICANTE,31,BENIDORM,S ,Servicios,9,Ocupaciones elementales,M,Mujer,>44  ,77
2018,1,3,ALICANTE,44,BIGASTRO,S ,Servicios,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),M,Mujer,25-44,11
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,S ,Servicios,9,Ocupaciones elementales,M,Mujer,>44  ,1
2018,1,3,ALICANTE,122,SAN VICENTE DEL RASPEIG/SANT V,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,25-44,5
2018,1,3,ALICANTE,9,ALCOY/ALCOI,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,M,Mujer,25-44,4
2018,1,3,ALICANTE,47,CALP,S ,Servicios,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,3,ALICANTE,63,DENIA,S ,Servicios,3,"Tecnicos, profesionales de apoyo",H,Hombre,25-44,2
2018,1,3,ALICANTE,65,ELCHE/ELX,I ,Industria,8,"Operadores de instalaciones y maquinaria, y montadores",M,Mujer,25-44,1
2018,1,3,ALICANTE,18,ALTEA,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,25-44,3
2018,1,3,ALICANTE,65,ELCHE/ELX,S ,Servicios,9,Ocupaciones elementales,M,Mujer,25-44,4
2018,1,3,ALICANTE,47,CALP,S ,Servicios,9,Ocupaciones elementales,M,Mujer,25-44,1
2018,1,3,ALICANTE,120,SAN MIGUEL DE SALINAS,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,M,Mujer,25-44,1
2018,1,3,ALICANTE,15,ALMORADI,S ,Servicios,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),M,Mujer,25-44,1
2018,1,3,ALICANTE,133,TORREVIEJA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,1
